product_name,category,price,description,features,release_date
iPhone 15 Pro,Smartphone,999,Latest Apple smartphone with titanium design,A17 Pro chip; 48MP camera; USB-C; Titanium build,2023-09-15
MacBook Air M2,Laptop,1199,Ultra-thin laptop with Apple Silicon,M2 chip; 13.6-inch display; 18-hour battery; Fanless design,2022-07-08
iPad Pro 12.9,Tablet,1099,Professional tablet for creative work,M2 chip; 12.9-inch Liquid Retina display; Apple Pencil support; 5G connectivity,2022-10-18
AirPods Pro 2,Headphones,249,Premium wireless earbuds with noise cancellation,H2 chip; Adaptive Transparency; Spatial Audio; 6-hour battery,2022-09-23
Apple Watch Series 9,Smartwatch,399,Advanced health and fitness tracking watch,S9 SiP; Double Tap gesture; Precision Finding; ECG app,2023-09-22
Mac Studio,Desktop,1999,High-performance desktop for professionals,M2 Max chip; Multiple Thunderbolt ports; Compact design; Silent operation,2023-06-05
Vision Pro,Mixed Reality,3499,Revolutionary spatial computing device,M2 and R1 chips; 4K displays; Eye tracking; Hand gesture control,2024-02-02
HomePod mini,Smart Speaker,99,Compact smart speaker with Siri,S5 chip; 360-degree audio; Intercom feature; Smart home hub,2020-11-16
Magic Keyboard,Accessory,179,Wireless keyboard for Mac and iPad,Scissor mechanism; Touch ID; USB-C charging; Backlit keys,2021-04-30
Studio Display,Monitor,1599,5K Retina display for creative professionals,27-inch 5K; P3 wide color; True Tone; Built-in camera and speakers,2022-03-18